Date,Air Temp Max (C),Air Temp Min (C),Air Temp Mean (C),24-hour Total Precip (mm),Season Total Precip (mm),% of Precip as Snow,% of Precip as Rain,New Snow (cm),Season Total Snow (cm),Snowpack depth (cm),Snow Water Equivalent (cm),Remarks
1977-06-21,24.42,8.325,16.3725,0,645.892,,,0,463.7,0,0,
1977-06-22,25.53,7.77,16.65,0,645.892,,,0,463.7,0,0,
1977-06-23,27.195,6.66,16.9275,0,645.892,,,0,463.7,0,0,
1977-06-24,29.415,11.655,20.535,0,645.892,,,0,463.7,0,0,
1977-06-25,27.195,10.545,18.87,0,645.892,,,0,463.7,0,0,
1977-06-26,26.64,9.99,18.315,0,645.892,,,0,463.7,0,0,
1977-06-27,28.305,8.88,18.5925,0,645.892,,,0,463.7,0,0,
1977-06-28,28.86,12.765,20.8125,0,645.892,,,0,463.7,0,0,
1977-06-29,28.305,10.545,19.425,0,645.892,,,0,463.7,0,0,
1977-06-30,24.42,12.765,18.5925,0,645.892,,,0,463.7,0,0,
1977-07-01,23.31,12.21,17.76,4.318,650,--,--,0,463.7,0,0,
1977-07-02,16.65,8.325,12.4875,3.302,653.302,,,0,463.7,0,0,
1977-07-03,16.095,8.325,12.21,0,653.302,,,0,463.7,0,0,
1977-07-04,14.985,2.775,8.88,0,653.302,,,0,463.7,0,0,
1977-07-05,17.76,2.22,9.99,0,653.302,,,0,463.7,0,0,
1977-07-06,22.2,1.11,11.655,0,653.302,,,0,463.7,0,0,
1977-07-07,22.755,3.885,13.32,0,653.302,,,0,463.7,0,0,
1977-07-08,22.2,3.885,13.0425,0,653.302,,,0,463.7,0,0,
1977-07-09,19.98,5.55,12.765,0,653.302,,,0,463.7,0,0,
1977-07-10,24.975,3.885,14.43,0,653.302,,,0,463.7,0,0,
1977-07-11,26.64,7.77,17.205,0,653.302,,,0,463.7,0,0,
1977-07-12,22.755,8.325,15.54,0,653.302,,,0,463.7,0,0,
1977-07-13,24.42,5.55,14.985,0,653.302,,,0,463.7,0,0,
1977-07-14,25.53,5.55,15.54,0,653.302,,,0,463.7,0,0,
1977-07-15,27.75,7.215,17.4825,0,653.302,,,0,463.7,0,0,
1977-07-16,28.305,8.325,18.315,0,653.302,,,0,463.7,0,0,
1977-07-17,25.53,9.99,17.76,0,653.302,,,0,463.7,0,0,
1977-07-18,25.53,8.88,17.205,0,653.302,,,0,463.7,0,0,
1977-07-19,23.865,7.215,15.54,0,653.302,,,0,463.7,0,0,
1977-07-20,25.53,6.105,15.8175,0,653.302,,,0,463.7,0,0,
1977-07-21,24.975,8.88,16.9275,0,653.302,,,0,463.7,0,0,
1977-07-22,25.53,7.215,16.3725,0,653.302,,,0,463.7,0,0,
1977-07-23,26.085,6.105,16.095,0,653.302,,,0,463.7,0,0,
1977-07-24,23.865,6.105,14.985,0,653.302,,,0,463.7,0,0,
1977-07-25,22.755,3.885,13.32,0,653.302,,,0,463.7,0,0,
1977-07-26,25.53,3.33,14.43,0,653.302,,,0,463.7,0,0,
1977-07-27,27.195,3.33,15.2625,0,653.302,,,0,463.7,0,0,
1977-07-28,25.53,4.44,14.985,0,653.302,,,0,463.7,0,0,
1977-07-29,29.415,4.995,17.205,0,653.302,,,0,463.7,0,0,
1977-07-30,30.525,9.99,20.2575,0,653.302,,,0,463.7,0,0,
1977-07-31,32.19,12.21,22.2,0,653.302,,,0,463.7,0,0,
1977-08-01,31.635,12.21,21.9225,0.508,654,--,--,0,463.7,0,0,
1977-08-02,30.525,13.875,22.2,T,654,,,0,463.7,0,0,
1977-08-03,28.86,11.655,20.2575,0,654,,,0,463.7,0,0,
1977-08-04,26.64,9.99,18.315,0,654,,,0,463.7,0,0,
1977-08-05,22.755,7.77,15.2625,0,654,,,0,463.7,0,0,
1977-08-06,23.31,8.88,16.095,0,654,,,0,463.7,0,0,
1977-08-07,22.2,6.105,14.1525,0,654,,,0,463.7,0,0,
1977-08-08,26.085,3.33,14.7075,0,654,,,0,463.7,0,0,
1977-08-09,27.75,6.66,17.205,0,654,,,0,463.7,0,0,
1977-08-10,29.415,8.325,18.87,0,654,,,0,463.7,0,0,
1977-08-11,29.97,9.99,19.98,0,654,,,0,463.7,0,0,
1977-08-12,29.415,9.99,19.7025,0,654,,,0,463.7,0,0,
1977-08-13,27.195,11.1,19.1475,0,654,,,0,463.7,0,0,
1977-08-14,25.53,8.325,16.9275,0,654,,,0,463.7,0,0,
1977-08-15,28.86,6.105,17.4825,0,654,,,0,463.7,0,0,
1977-08-16,31.635,8.325,19.98,0,654,,,0,463.7,0,0,
1977-08-17,19.98,12.765,16.3725,0,654,,,0,463.7,0,0,
1977-08-18,24.975,10.545,17.76,0,654,,,0,463.7,0,0,
1977-08-19,27.75,9.99,18.87,0,654,,,0,463.7,0,0,
1977-08-20,27.195,9.99,18.5925,0,654,,,0,463.7,0,0,
1977-08-21,28.305,9.435,18.87,0,654,,,0,463.7,0,0,
1977-08-22,27.75,7.77,17.76,0,654,,,0,463.7,0,0,
1977-08-23,26.085,7.215,16.65,0,654,,,0,463.7,0,0,
1977-08-24,16.095,8.88,12.4875,0,654,,,0,463.7,0,0,
1977-08-25,12.765,7.77,10.2675,14.478,668.478,,,0,463.7,0,0,
1977-08-26,14.43,4.995,9.7125,1.524,670.002,,,0,463.7,0,0,
1977-08-27,18.315,2.22,10.2675,0,670.002,,,0,463.7,0,0,
1977-08-28,26.085,4.995,15.54,0,670.002,,,0,463.7,0,0,
1977-08-29,26.085,7.77,16.9275,0,670.002,,,0,463.7,0,0,
1977-08-30,24.975,6.66,15.8175,0,670.002,,,0,463.7,0,0,
1977-08-31,22.2,5.55,13.875,0,670.002,,,0,463.7,0,0,
1977-09-01,23.865,5.55,14.7075,0,670,--,--,0,463.7,0,0,
1977-09-02,24.42,5.55,14.985,0,670,,,0,463.7,0,0,
1977-09-03,24.975,4.44,14.7075,0,670,,,0,463.7,0,0,
1977-09-04,27.195,6.105,16.65,0,670,,,0,463.7,0,0,
1977-09-05,27.195,7.215,17.205,0,670,,,0,463.7,0,0,
1977-09-06,27.195,7.77,17.4825,0,670,,,0,463.7,0,0,
1977-09-07,26.085,7.77,16.9275,0,670,,,0,463.7,0,0,
1977-09-08,28.305,6.105,17.205,0,670,,,0,463.7,0,0,
1977-09-09,26.085,8.88,17.4825,0,670,,,0,463.7,0,0,
1977-09-10,25.53,6.105,15.8175,0,670,,,0,463.7,0,0,
1977-09-11,23.865,6.66,15.2625,0,670,,,0,463.7,0,0,
1977-09-12,24.975,4.995,14.985,0,670,,,0,463.7,0,0,
1977-09-13,23.31,6.105,14.7075,0,670,,,0,463.7,0,0,
1977-09-14,17.76,7.215,12.4875,0,670,,,0,463.7,0,0,
1977-09-15,12.21,3.885,8.0475,0,670,,,0,463.7,0,0,
1977-09-16,3.885,0,1.9425,7.366,677.366,,,T,463.7,0,0,
1977-09-17,8.325,0.555,4.44,1.27,678.636,,,T,463.7,0,0,
1977-09-18,14.43,0.555,7.4925,0,678.636,,,0,463.7,0,0,
1977-09-19,7.215,3.33,5.2725,6.35,684.986,,,0,463.7,0,0,
1977-09-20,11.655,1.11,6.3825,0,684.986,,,0,463.7,0,0,
1977-09-21,15.54,-2.22,6.66,0,684.986,,,0,463.7,0,0,
1977-09-22,13.32,-2.775,5.2725,0,684.986,,,0,463.7,0,0,
1977-09-23,14.985,-2.22,6.3825,0,684.986,,,0,463.7,0,0,
1977-09-24,16.65,3.885,10.2675,0.762,685.748,,,0,463.7,0,0,
1977-09-25,18.87,2.22,10.545,0.508,686.256,,,0,463.7,0,0,
1977-09-26,17.205,3.33,10.2675,0,686.256,,,0,463.7,0,0,
1977-09-27,14.43,7.77,11.1,0,686.256,,,0,463.7,0,0,
1977-09-28,11.1,6.105,8.6025,8.382,694.638,,,0,463.7,0,0,
1977-09-29,7.215,2.775,4.995,6.858,701.496,,,0,463.7,0,0,
1977-09-30,14.43,-0.555,6.9375,0,701.496,,,0,463.7,0,0,
1977-10-01,17.76,0,8.88,0,0,--,--,0,0,0,0,
1977-10-02,16.65,-1.11,7.77,0,0,,,0,0,0,0,
1977-10-03,18.315,-0.555,8.88,0,0,,,0,0,0,0,
1977-10-04,17.76,0,8.88,0,0,,,0,0,0,0,
1977-10-05,14.985,1.11,8.0475,0,0,,,0,0,0,0,
1977-10-06,10.545,-2.22,4.1625,0,0,,,0,0,0,0,
1977-10-07,15.54,-2.775,6.3825,0,0,,,0,0,0,0,
1977-10-08,16.095,0,8.0475,0,0,,,0,0,0,0,
1977-10-09,17.76,-1.665,8.0475,0,0,,,0,0,0,0,
1977-10-10,18.87,1.665,10.2675,0,0,,,0,0,0,0,
1977-10-11,21.09,2.22,11.655,0,0,,,0,0,0,0,
1977-10-12,18.87,1.665,10.2675,0,0,,,0,0,0,0,
1977-10-13,20.535,0.555,10.545,0,0,,,0,0,0,0,
1977-10-14,22.2,1.11,11.655,0,0,,,0,0,0,0,
1977-10-15,22.2,3.885,13.0425,0,0,,,0,0,0,0,
1977-10-16,19.425,3.33,11.3775,0,0,,,0,0,0,0,
1977-10-17,22.2,2.22,12.21,0,0,,,0,0,0,0,
1977-10-18,21.09,2.775,11.9325,0,0,,,0,0,0,0,
1977-10-19,18.315,2.22,10.2675,0,0,,,0,0,0,0,
1977-10-20,12.765,0,6.3825,0,0,,,0,0,0,0,
1977-10-21,14.985,-2.22,6.3825,0,0,,,0,0,0,0,
1977-10-22,17.76,-1.11,8.325,0,0,,,0,0,0,0,
1977-10-23,13.875,3.33,8.6025,0,0,,,0,0,0,0,
1977-10-24,14.985,2.775,8.88,0,0,,,0,0,0,0,
1977-10-25,14.985,1.11,8.0475,0,0,,,0,0,0,0,
1977-10-26,14.43,5.55,9.99,0,0,,,0,0,0,0,
1977-10-27,6.105,-2.22,1.9425,12.7,12.7,,,0,0,0,0,
1977-10-28,4.995,-1.665,1.665,0.508,13.208,,,0,0,0,0,
1977-10-29,3.33,-2.22,0.555,4.318,17.526,,,2.54,2.54,2.54,--,
1977-10-30,6.66,-1.665,2.4975,0.762,18.288,,,2.54,5.08,2.54,--,
1977-10-31,9.435,-1.11,4.1625,0,18.288,,,0,5.08,0,0,
1977-11-01,13.875,-2.22,5.8275,0,18,--,--,0,5.1,0,0,
1977-11-02,12.765,-2.22,5.2725,0,18,,,0,5.1,0,0,
1977-11-03,11.655,0,5.8275,0,18,,,0,5.1,0,0,
1977-11-04,8.325,-1.665,3.33,9.652,27.652,,,0,5.1,0,0,
1977-11-05,-1.11,-6.105,-3.6075,20.066,47.718,,,25.4,30.5,25.4,--,
1977-11-06,1.665,-4.44,-1.3875,0,47.718,,,0,30.5,--,--,
1977-11-07,7.77,-4.44,1.665,0,47.718,,,0,30.5,15.24,--,
1977-11-08,6.66,-4.995,0.8325,0,47.718,,,0,30.5,5.08,--,
1977-11-09,13.875,-6.66,3.6075,0,47.718,,,0,30.5,2.54,--,
1977-11-10,13.875,-4.44,4.7175,0,47.718,,,0,30.5,0,0,
1977-11-11,7.215,-1.11,3.0525,0,47.718,,,0,30.5,0,0,
1977-11-12,8.88,-2.775,3.0525,0,47.718,,,0,30.5,0,0,
1977-11-13,8.325,-3.33,2.4975,0,47.718,,,0,30.5,0,0,
1977-11-14,11.1,-3.33,3.885,0,47.718,,,0,30.5,0,0,
1977-11-15,13.32,-2.22,5.55,0,47.718,,,0,30.5,0,0,
1977-11-16,14.43,-2.22,6.105,0,47.718,,,0,30.5,0,0,
1977-11-17,7.77,-1.665,3.0525,0,47.718,,,0,30.5,0,0,
1977-11-18,2.22,-7.77,-2.775,0,47.718,,,0,30.5,0,0,
1977-11-19,-7.77,-13.32,-10.545,0,47.718,,,0,30.5,0,0,
1977-11-20,-3.33,-13.32,-8.325,11.684,59.402,,,0,30.5,0,0,
1977-11-21,0,-4.44,-2.22,108.458,167.86,,,35.56,66.06,35.56,11.9888,
1977-11-22,1.11,-3.885,-1.3875,2.54,170.4,,,45.085,111.145,66.04,15.0368,
1977-11-23,4.44,-6.105,-0.8325,0,170.4,,,0,111.145,60.96,16.4338,
1977-11-24,6.66,-1.665,2.4975,2.032,172.432,,,T,111.145,--,--,
1977-11-25,11.655,-2.775,4.44,0,172.432,,,0,111.145,55.88,13.716,
1977-11-26,9.99,-1.665,4.1625,0,172.432,,,0,111.145,--,--,
1977-11-27,5.55,-3.885,0.8325,0,172.432,,,0,111.145,--,--,
1977-11-28,10.545,-3.885,3.33,0,172.432,,,0,111.145,38.1,13.6144,
1977-11-29,12.21,-2.22,4.995,0,172.432,,,0,111.145,33.02,11.7602,
1977-11-30,6.66,-2.775,1.9425,0,172.432,,,0,111.145,38.1,12.1412,
1977-12-01,8.88,-3.885,2.4975,0,172,--,--,0,111.1,30.48,10.0076,
1977-12-02,11.1,-3.885,3.6075,0,172,,,0,111.1,43.18,11.7856,snow filled around tube
1977-12-03,9.99,-3.885,3.0525,0,172,,,0,111.1,--,--,
1977-12-04,6.105,-2.775,1.665,0.508,172.508,,,0,111.1,--,--,
1977-12-05,12.765,-3.885,4.44,0,172.508,,,0,111.1,22.86,8.9662,
1977-12-06,7.77,-3.885,1.9425,0,172.508,,,0,111.1,20.32,8.2296,
1977-12-07,5.55,-6.105,-0.2775,0,172.508,,,0,111.1,17.78,6.8072,
1977-12-08,9.435,-7.77,0.8325,0,172.508,,,0,111.1,15.24,6.0706,
1977-12-09,9.99,-6.66,1.665,0,172.508,,,0,111.1,15.24,5.6388,
1977-12-10,7.215,-4.995,1.11,0,172.508,,,0,111.1,--,--,
1977-12-11,3.33,-2.22,0.555,17.018,189.526,,,10.16,121.26,--,--,
1977-12-12,4.44,-7.215,-1.3875,0,189.526,,,0,121.26,25.4,7.4168,
1977-12-13,3.33,-6.66,-1.665,5.842,195.368,,,0,121.26,20.32,6.4008,
1977-12-14,4.44,0,2.22,57.658,253.026,,,0,121.26,15.24,5.5372,
1977-12-15,2.775,-6.66,-1.9425,33.274,286.3,,,10.16,131.42,33.02,--,
1977-12-16,-1.11,-8.325,-4.7175,14.986,301.286,,,10.16,141.58,35.56,10.922,
1977-12-17,-0.555,-5.55,-3.0525,54.61,355.896,,,0,141.58,--,--,
1977-12-18,-4.44,-14.985,-9.7125,11.684,367.58,,,0,141.58,--,--,
1977-12-19,-1.665,-14.985,-8.325,0.508,368.088,,,43.18,184.76,76.2,20.4216,
1977-12-20,-0.555,-6.66,-3.6075,5.08,373.168,,,0,184.76,71.12,19.9644,
1977-12-21,0.555,-5.55,-2.4975,18.796,391.964,,,0,184.76,--,--,
1977-12-22,-1.11,-2.775,-1.9425,41.91,433.874,,,26.67,211.43,101.2444,29.6164,
1977-12-23,-0.555,-3.33,-1.9425,25.4,459.274,,,33.02,244.45,128.016,35.687,
1977-12-24,2.22,-6.105,-1.9425,3.81,463.084,,,0,244.45,--,--,
1977-12-25,2.22,-7.77,-2.775,0,463.084,,,0,244.45,--,--,
1977-12-26,1.11,-6.105,-2.4975,22.098,485.182,,,0,244.45,--,--,
1977-12-27,6.105,-6.105,0,14.732,499.914,,,0.635,245.085,97.2312,33.401,
1977-12-28,1.665,0,0.8325,30.226,530.14,,,1.905,246.99,104.5464,36.7538,
1977-12-29,1.11,-1.665,-0.2775,32.258,562.398,,,17.78,264.77,110.3376,39.7002,
1977-12-30,-2.22,-5.55,-3.885,7.112,569.51,,,7.62,272.39,115.2144,42.799,
1977-12-31,1.11,-11.1,-4.995,2.54,572.05,,,6.35,278.74,--,--,
1978-01-01,1.665,-11.1,-4.7175,3.048,575,--,--,--,278.7,--,--,
1978-01-02,0.555,-1.665,-0.555,11.43,586.43,,,--,278.7,--,--,
1978-01-03,0,-2.775,-1.3875,13.208,599.638,,,11.43,290.13,119.7864,44.6278,
1978-01-04,-0.555,-2.775,-1.665,34.036,633.674,,,12.7,302.83,128.3208,46.0248,
1978-01-05,-1.11,-3.33,-2.22,82.296,715.97,,,36.195,339.025,161.544,54.7624,
1978-01-06,-1.11,-8.325,-4.7175,8.89,724.86,,,69.85,408.875,211.836,63.8048,
1978-01-07,1.11,-9.435,-4.1625,0,724.86,,,--,408.875,--,--,
1978-01-08,0,-2.775,-1.3875,11.43,736.29,,,--,408.875,--,--,
1978-01-09,0,-1.665,-0.8325,41.656,777.946,,,13.97,422.845,206.6544,66.8782,
1978-01-10,2.22,-6.66,-2.22,10.922,788.868,,,33.02,455.865,219.456,70.231,
1978-01-11,-0.555,-2.22,-1.3875,3.048,791.916,,,3.81,459.675,212.4456,72.3646,
1978-01-12,2.775,-5.55,-1.3875,2.54,794.456,,,2.54,462.215,208.4832,70.9676,
1978-01-13,3.885,-1.665,1.11,21.336,815.792,,,1.27,463.485,205.1304,72.4408,
1978-01-14,0.555,-3.33,-1.3875,52.07,867.862,,,--,463.485,--,--,
1978-01-15,-0.555,-4.995,-2.775,32.258,900.12,,,--,463.485,--,--,
1978-01-16,-0.555,-2.22,-1.3875,84.074,984.194,,,110.49,573.975,289.56,92.4814,
1978-01-17,-0.555,-6.66,-3.6075,20.574,1004.768,,,44.45,618.425,307.848,99.187,
1978-01-18,0,-7.77,-3.885,11.938,1016.706,,,5.08,623.505,300.228,99.2632,
1978-01-19,1.11,-6.66,-2.775,7.366,1024.072,,,20.32,643.825,307.2384,100.6348,
1978-01-20,1.665,-7.77,-3.0525,0,1024.072,,,1.27,645.095,296.2656,100.076,
1978-01-21,1.11,-9.435,-4.1625,0,1024.072,,,0,645.095,--,--,
1978-01-22,-1.11,-11.655,-6.3825,0,1024.072,,,0,645.095,--,--,
1978-01-23,-5.55,-12.21,-8.88,0,1024.072,,,0,645.095,276.7584,99.6188,
1978-01-24,3.885,-12.21,-4.1625,0,1024.072,,,0,645.095,272.3896,99.3902,
1978-01-25,7.215,-8.325,-0.555,0,1024.072,,,0,645.095,269.1384,97.536,
1978-01-26,6.66,-5.55,0.555,0,1024.072,,,0,645.095,265.7856,95.6818,
1978-01-27,9.435,-7.77,0.8325,0,1024.072,,,0,645.095,261.2136,95.6818,
1978-01-28,7.77,-4.995,1.3875,0,1024.072,,,0,645.095,--,--,
1978-01-29,7.77,-7.77,0,0,1024.072,,,0,645.095,--,--,
1978-01-30,8.325,-8.325,0,0,1024.072,,,0,645.095,250.5456,94.5388,
1978-01-31,4.995,-7.215,-1.11,0,1024.072,,,0,645.095,242.9256,92.456,
1978-02-01,2.775,-9.435,-3.33,9.652,1034,--,--,0,645.1,240.1824,93.98,
1978-02-02,1.665,-2.22,-0.2775,4.318,1038.318,,,12.7,657.8,252.3744,94.7928,
1978-02-03,8.325,-7.215,0.555,0,1038.318,,,2.54,660.34,249.3264,96.1898,
1978-02-04,9.99,-2.22,3.885,0,1038.318,,,--,660.34,--,--,
1978-02-05,3.33,-2.22,0.555,33.782,1072.1,,,--,660.34,--,--,
1978-02-06,1.11,-2.775,-0.8325,41.656,1113.756,,,20.32,680.66,272.1864,101.3206,
1978-02-07,-1.665,-4.44,-3.0525,48.26,1162.016,,,45.72,726.38,304.8,104.6988,
1978-02-08,-0.555,-7.215,-3.885,27.178,1189.194,,,25.4,751.78,308.61,108.2802,
1978-02-09,-0.555,-6.66,-3.6075,21.59,1210.784,,,30.48,782.26,330.2,111.3536,
1978-02-10,-1.11,-6.66,-3.885,5.588,1216.372,,,2.54,784.8,322.7832,111.6838,
1978-02-11,-2.22,-11.655,-6.9375,0.508,1216.88,,,--,784.8,--,--,
1978-02-12,-1.665,-11.1,-6.3825,22.606,1239.486,,,--,784.8,--,--,
1978-02-13,0,-4.995,-2.4975,8.128,1247.614,,,43.18,827.98,343.2048,115.189,
1978-02-14,1.665,-12.765,-5.55,1.27,1248.884,,,T,827.98,333.756,111.379,
1978-02-15,-0.555,-13.32,-6.9375,5.08,1253.964,,,2.54,830.52,332.232,115.7986,
1978-02-16,-0.555,-11.655,-6.105,0,1253.964,,,T,830.52,326.39,115.5954,
1978-02-17,3.33,-12.21,-4.44,0,1253.964,,,0,830.52,324.0024,115.7478,
1978-02-18,4.44,-4.995,-0.2775,0,1253.964,,,0,830.52,--,--,
1978-02-19,7.77,-2.22,2.775,0,1253.964,,,0,830.52,--,--,
1978-02-20,12.21,-3.885,4.1625,0,1253.964,,,0,830.52,--,--,
1978-02-21,11.655,-4.995,3.33,0,1253.964,,,0,830.52,298.704,110.9726,
1978-02-22,10.545,-4.44,3.0525,0,1253.964,,,0,830.52,293.5224,110.7694,
1978-02-23,10.545,-4.995,2.775,0,1253.964,,,0,830.52,292.5064,110.7186,
1978-02-24,6.66,-2.22,2.22,1.27,1255.234,,,0,830.52,278.2824,106.4006,
1978-02-25,5.55,-3.33,1.11,0,1255.234,,,0,830.52,--,--,
1978-02-26,3.885,-6.66,-1.3875,0,1255.234,,,0,830.52,--,--,
1978-02-27,4.44,-3.885,0.2775,1.27,1256.504,,,1.27,831.79,268.8336,105.2322,
1978-02-28,7.215,-8.325,-0.555,0,1256.504,,,0,831.79,267.3096,105.3084,
1978-03-01,4.995,0,2.4975,17.272,1274,--,--,3.81,835.6,265.176,103.5558,
1978-03-02,1.11,-1.665,-0.2775,27.686,1301.686,,,12.7,848.3,273.05,108.331,
1978-03-03,1.665,-2.22,-0.2775,20.32,1322.006,,,31.75,880.05,296.8752,109.9566,
1978-03-04,0.555,-1.11,-0.2775,58.166,1380.172,,,--,880.05,--,--,
1978-03-05,0.555,-1.665,-0.555,27.686,1407.858,,,--,880.05,--,--,
1978-03-06,8.325,-4.44,1.9425,2.032,1409.89,,,62.23,942.28,325.2216,121.2088,
1978-03-07,7.77,-3.33,2.22,0,1409.89,,,0,942.28,313.6392,122.0978,
1978-03-08,6.105,-0.555,2.775,1.778,1411.668,,,0,942.28,303.8856,123.5202,
1978-03-09,3.885,-1.665,1.11,0.508,1412.176,,,1.27,943.55,301.1424,123.0884,
1978-03-10,7.215,-2.775,2.22,2.54,1414.716,,,T,943.55,297.18,123.2154,
1978-03-11,1.665,-3.33,-0.8325,12.192,1426.908,,,0,943.55,--,--,
1978-03-12,2.775,-8.88,-3.0525,0.508,1427.416,,,7.62,951.17,--,--,
1978-03-13,3.885,-9.435,-2.775,0,1427.416,,,T,951.17,295.3512,123.5456,
1978-03-14,9.99,-8.325,0.8325,0,1427.416,,,0,951.17,292.9128,122.3772,
1978-03-15,11.655,-7.77,1.9425,0,1427.416,,,0,951.17,287.7312,123.1392,
1978-03-16,15.54,-3.885,5.8275,0,1427.416,,,0,951.17,286.2072,123.952,
1978-03-17,13.875,-2.22,5.8275,0,1427.416,,,0,951.17,281.6352,122.6312,
1978-03-18,12.21,-2.22,4.995,0,1427.416,,,0,951.17,--,--,
1978-03-19,13.32,-1.665,5.8275,0,1427.416,,,0,951.17,--,--,
1978-03-20,13.32,-1.11,6.105,0,1427.416,,,0,951.17,270.3576,118.7196,
1978-03-21,2.22,0,1.11,13.208,1440.624,,,0,951.17,267.9192,118.2116,
1978-03-22,3.885,-0.555,1.665,5.588,1446.212,,,2.54,953.71,269.748,118.5672,
1978-03-23,1.11,-2.22,-0.555,12.192,1458.404,,,1.27,954.98,266.7,118.5418,
1978-03-24,9.99,-7.77,1.11,0,1458.404,,,2.54,957.52,268.224,117.221,
1978-03-25,13.875,-3.885,4.995,0,1458.404,,,0,957.52,--,--,
1978-03-26,12.21,-2.22,4.995,0,1458.404,,,0,957.52,--,--,
1978-03-27,13.875,-1.665,6.105,0,1458.404,,,0,957.52,252.6792,113.284,
1978-03-28,14.985,-2.22,6.3825,0,1458.404,,,0,957.52,247.1928,110.998,
1978-03-29,12.21,-1.11,5.55,0.508,1458.912,,,0,957.52,241.7064,109.2962,
1978-03-30,10.545,1.11,5.8275,3.81,1462.722,,,0,957.52,238.3536,106.3752,
1978-03-31,3.33,-1.665,0.8325,22.098,1484.82,,,2.54,960.06,236.5248,106.1466,
1978-04-01,1.665,-2.775,-0.555,12.7,1498,--,--,--,960.1,--,--,
1978-04-02,3.33,-6.66,-1.665,1.27,1499.27,,,--,960.1,--,--,
1978-04-03,2.22,-3.33,-0.555,0,1499.27,,,13.97,974.07,242.6208,108.1532,
1978-04-04,-0.555,-7.215,-3.885,11.684,1510.954,,,16.51,990.58,252.984,108.7882,
1978-04-05,1.11,-8.325,-3.6075,1.778,1512.732,,,2.54,993.12,248.7168,108.1786,
1978-04-06,-3.33,-8.325,-5.8275,36.322,1549.054,,,25.4,1018.52,275.5392,112.4966,
1978-04-07,2.22,-11.655,-4.7175,0,1549.054,,,21.59,1040.11,279.1968,112.1918,
1978-04-08,6.105,-4.44,0.8325,0,1549.054,,,0,1040.11,--,--,
1978-04-09,12.21,0,6.105,0,1549.054,,,0,1040.11,--,--,
1978-04-10,18.315,-2.22,8.0475,0,1549.054,,,0,1040.11,248.1072,110.9726,
1978-04-11,14.43,-2.22,6.105,0,1549.054,,,0,1040.11,239.5728,107.9246,
1978-04-12,12.21,-3.885,4.1625,0,1549.054,,,0,1040.11,232.2576,105.9434,
1978-04-13,7.215,-3.33,1.9425,0,1549.054,,,0,1040.11,226.4664,104.3432,
1978-04-14,3.33,-2.22,0.555,5.588,1554.642,,,0,1040.11,221.8944,101.5492,
1978-04-15,1.11,-6.105,-2.4975,27.94,1582.582,,,0,1040.11,--,--,
1978-04-16,0,-7.215,-3.6075,18.288,1600.87,,,55.88,1095.99,--,--,
1978-04-17,4.44,-8.325,-1.9425,0,1600.87,,,13.97,1109.96,267.6144,109.6772,
1978-04-18,7.77,-6.105,0.8325,0,1600.87,,,0,1109.96,253.2888,108.6612,
1978-04-19,5.55,-2.775,1.3875,13.716,1614.586,,,--,1109.96,242.0112,108.1278,
1978-04-20,-1.665,-6.105,-3.885,29.718,1644.304,,,22.86,1132.82,265.7856,111.4806,
1978-04-21,3.885,-7.77,-1.9425,0,1644.304,,,17.78,1150.6,270.0528,110.6678,
1978-04-22,6.105,-13.32,-3.6075,0,1644.304,,,0,1150.6,--,--,
1978-04-23,12.21,-4.44,3.885,0,1644.304,,,0,1150.6,--,--,
1978-04-24,8.88,-0.555,4.1625,20.066,1664.37,,,0,1150.6,240.4872,109.2962,
1978-04-25,2.775,-1.11,0.8325,12.7,1677.07,,,3.81,1154.41,238.3536,108.7374,
1978-04-26,3.885,-1.665,1.11,1.778,1678.848,,,0,1154.41,237.744,107.3404,
1978-04-27,9.435,-1.665,3.885,1.524,1680.372,,,0,1154.41,233.4768,107.7468,
1978-04-28,8.325,-2.775,2.775,3.556,1683.928,,,0,1154.41,226.7712,105.3592,
1978-04-29,11.1,-2.775,4.1625,0,1683.928,,,0,1154.41,--,--,
1978-04-30,1.665,-1.11,0.2775,7.366,1691.294,,,0,1154.41,--,--,
1978-05-01,11.1,0,5.55,0,1691,--,--,5.08,1159.5,224.028,101.7778,
1978-05-02,15.54,0,7.77,0,1691,,,0,1159.5,215.1888,101.0158,
1978-05-03,14.985,-1.665,6.66,0,1691,,,0,1159.5,207.264,98.1964,
1978-05-04,12.21,-2.775,4.7175,0,1691,,,0,1159.5,199.644,91.0336,
1978-05-05,3.885,-6.105,-1.11,0,1691,,,0,1159.5,195.072,88.3412,
1978-05-06,8.88,-3.33,2.775,0,1691,,,0,1159.5,--,--,
1978-05-07,13.32,-1.11,6.105,0,1691,,,0,1159.5,--,--,
1978-05-08,15.54,-2.22,6.66,0,1691,,,0,1159.5,180.1368,82.6262,
1978-05-09,11.655,-0.555,5.55,0,1691,,,0,1159.5,173.4312,86.9696,
1978-05-10,10.545,0,5.2725,0,1691,,,0,1159.5,168.8592,81.5086,
1978-05-11,8.88,-2.22,3.33,0,1691,,,0,1159.5,157.8864,79.5782,
1978-05-12,14.43,-2.775,5.8275,0,1691,,,0,1159.5,151.4856,74.3204,
1978-05-13,15.54,-1.11,7.215,0,1691,,,0,1159.5,--,--,
1978-05-14,11.1,0,5.55,1.778,1692.778,,,0,1159.5,--,--,
